ID,Label
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,0
1107,1
1108,0
1109,1
1110,0
1111,1
1112,1
1113,0
1114,1
1115,1
1116,1
1117,1
1118,1
1119,0
1120,1
1121,0
1122,1
1123,1
1124,0
1125,0
1126,1
1127,1
1128,1
1129,0
1130,1
1131,0
1132,1
1133,0
1134,1
1135,1
1136,0
1137,0
1138,1
1139,1
1140,1
1141,0
1142,1
1143,1
1144,0
1145,1
1146,1
1147,1
1148,1
1149,0
1150,0
1151,1
1152,0
1153,1
1154,1
1155,1
1156,1
1157,1
1158,0
1159,0
1160,1
1161,1
1162,0
1163,0
1164,0
1165,0
1166,1
1167,1
1168,1
1169,1
1170,0
1171,0
1172,1
1173,1
1174,1
1175,1
1176,0
1177,0
1178,0
1179,1
1180,1
1181,0
1182,1
1183,0
1184,1
1185,1
1186,0
1187,0
1188,0
1189,1
1190,1
1191,1
1192,1
1193,0
1194,1
1195,1
1196,0
1197,0
1198,1
1199,1
1200,1
1201,0
1202,1
1203,1
1204,0
1205,1
1206,0
1207,1
1208,0
1209,1
1210,1
1211,0
1212,1
1213,1
1214,0
1215,1
1216,0
1217,1
1218,1
1219,0
1220,0
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,0
1233,0
1234,1
1235,1
1236,1
1237,0
1238,1
1239,1
1240,1
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,1
1248,1
1249,0
1250,1
1251,0
1252,0
1253,1
1254,0
1255,0
1256,0
1257,0
1258,1
1259,1
1260,0
1261,1
1262,1
1263,0
1264,0
1265,1
1266,1
1267,0
1268,0
1269,1
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,1
1278,0
1279,1
1280,0
1281,0
1282,0
1283,0
1284,1
1285,0
1286,0
1287,1
1288,0
1289,1
1290,0
1291,1
1292,1
1293,0
1294,1
1295,1
1296,0
1297,0
1298,0
1299,1
1300,1
1301,1
1302,1
1303,1
1304,1
1305,1
1306,1
1307,0
1308,1
1309,0
1310,0
1311,1
1312,1
1313,0
1314,0
1315,1
1316,1
1317,1
1318,0
1319,0
1320,1
1321,1
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,0
1337,0
1338,1
1339,1
1340,0
1341,0
1342,1
1343,1
1344,1
1345,0
1346,1
1347,0
1348,0
1349,1
1350,0
1351,1
1352,0
1353,1
1354,1
1355,0
1356,1
1357,0
1358,1
1359,1
1360,0
1361,1
1362,1
1363,1
1364,1
1365,0
1366,1
1367,1
1368,1
1369,0
1370,1
1371,0
1372,1
1373,0
1374,0
1375,1
1376,0
1377,0
1378,1
1379,1
1380,1
1381,0
1382,1
1383,0
1384,1
1385,1
1386,1
1387,0
1388,1
1389,1
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,0
1397,0
1398,1
1399,1
1400,1
1401,1
1402,0
1403,0
1404,0
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,0
1416,0
1417,0
1418,1
1419,0
1420,1
1421,1
1422,0
1423,1
1424,0
1425,0
1426,0
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,0
1434,0
1435,0
1436,1
1437,1
1438,1
1439,0
1440,0
1441,1
1442,1
1443,0
1444,1
1445,1
1446,0
1447,0
1448,1
1449,0
