ID,Age,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Label,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
0,0.0001006397375124165,-1.0285983785300645,4,77,1,2,2,3,-0.10409618812587566,1,18,3,3,80,1,7,2,4,7,5,0,7,0,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,1.8820637312214128,-1.0285983785300645,4,1245,4,3,3,3,0.8525889093953193,7,17,3,1,80,1,33,2,1,5,4,1,4,0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,-0.3320104940537641,-0.29626296339539077,3,147,1,1,2,3,-0.08691022829016558,1,24,4,4,80,0,9,3,3,9,7,0,6,1,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
3,0.2215080622650301,-1.0285983785300645,1,1026,4,2,4,4,1.327854959172981,1,16,3,3,80,1,21,3,3,21,6,11,8,0,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
4,-0.9962327616363171,-1.0285983785300645,3,1111,1,2,1,2,-0.8248456395074457,1,15,3,1,80,2,1,2,3,1,0,0,0,1,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
5,-1.4390476066913525,-0.6624306709627276,1,1445,4,3,2,3,-0.49258374935038396,1,12,3,3,80,2,5,3,3,5,4,0,3,0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
6,-0.8855290503725584,-0.05215115835049954,5,455,2,2,1,4,-0.5305625988638668,0,17,3,3,80,0,4,2,3,3,2,2,2,0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
7,-0.11060307152624642,-0.9065424760076188,2,513,2,2,3,3,0.2360160787462635,1,13,3,2,80,2,10,2,3,10,9,9,0,0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
8,-0.4427142053175229,-0.6624306709627276,4,305,3,2,1,2,-0.8193291585725264,6,21,4,4,80,0,7,3,3,3,2,1,1,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
9,-0.3320104940537641,-0.9065424760076188,4,1383,3,3,2,4,0.043151418367739176,1,11,3,4,80,0,14,2,4,14,11,4,11,0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
10,-1.4390476066913525,1.5345755744412934,1,1714,4,1,1,3,-1.045717049247868,1,11,3,3,80,1,1,2,3,1,0,0,0,1,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
11,-0.22130678279000526,0.06990474417194607,4,1587,1,3,2,3,-0.07248250892191513,3,16,3,3,80,0,10,4,3,5,2,0,4,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
12,-0.7748253391087995,-0.7844865734851733,3,297,4,3,1,1,-0.8119031265447504,5,11,3,3,80,0,8,5,3,5,2,0,4,1,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True
13,1.8820637312214128,-0.17420706087294516,4,578,3,3,2,3,-0.5736335846249674,7,11,3,3,80,0,19,3,3,1,0,0,0,0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
14,-0.3320104940537641,-1.0285983785300645,3,1447,4,2,1,2,-0.6767493436392279,5,17,3,1,80,1,7,2,2,5,4,0,2,0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
15,1.107137752375101,-0.9065424760076188,4,925,4,2,1,4,-0.6767493436392279,1,18,3,1,80,0,3,3,2,3,2,1,2,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
16,-0.11060307152624642,0.6801842567841742,4,2036,4,1,2,4,-0.2286413538488611,1,24,4,1,80,1,15,4,2,15,12,11,11,0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
17,-0.22130678279000526,-1.0285983785300645,4,1172,4,2,1,3,-0.8965598916613964,6,12,3,2,80,1,10,2,3,8,0,1,7,0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
